frame,cars,motorcycles,buses,trucks,total_vehicles,traffic_density
31000,8,0,1,0,9,Low
31100,13,0,0,2,15,Low
31200,8,0,1,0,9,Low
31300,12,0,0,1,13,Low
31400,9,0,0,0,9,Low
31500,12,0,0,1,13,Low
31600,8,0,2,2,12,Low
31700,6,0,0,0,6,Low
31800,9,0,0,0,9,Low
31900,7,0,0,1,8,Low
32000,7,0,0,1,8,Low
32100,10,0,1,0,11,Low
32200,10,0,1,0,11,Low
32300,13,0,0,0,13,Low
32400,12,0,1,0,13,Low
32500,8,0,1,0,9,Low
32600,11,0,1,0,12,Low
32700,8,0,3,2,13,Low
32800,8,0,1,1,10,Low
32900,7,0,1,0,8,Low
33000,6,0,0,0,6,Low
33100,8,0,0,1,9,Low
33200,10,0,0,1,11,Low
33300,13,0,0,0,13,Low
33400,11,0,2,3,16,Low
33500,6,0,1,1,8,Low
33600,9,0,2,2,13,Low
33700,10,0,1,0,11,Low
33800,10,0,1,0,11,Low
33900,7,0,1,1,9,Low
34000,12,0,0,1,13,Low
34100,14,0,0,0,14,Low
34200,13,0,2,0,15,Low
34300,13,0,0,0,13,Low
34400,10,0,0,0,10,Low
34500,11,0,2,2,15,Low
34600,11,0,1,0,12,Low
34700,13,0,1,0,14,Low
34800,10,0,0,0,10,Low
34900,14,0,1,2,17,Low
35000,7,0,2,0,9,Low
35100,11,0,0,0,11,Low
35200,8,0,2,1,11,Low
35300,10,0,2,2,14,Low
35400,11,0,1,0,12,Low
35500,10,0,1,0,11,Low
35600,9,0,3,2,14,Low
35700,13,0,2,2,17,Low
35800,9,0,0,2,11,Low
35900,12,0,0,3,15,Low
36000,11,0,1,2,14,Low
36100,14,0,2,6,22,Medium
36200,11,0,0,1,12,Low
36300,12,0,1,0,13,Low
36400,10,0,0,3,13,Low
36500,9,0,1,1,11,Low
36600,9,0,2,2,13,Low
36700,12,0,2,0,14,Low
36800,7,0,0,1,8,Low
36900,10,0,2,0,12,Low
37000,11,0,2,1,14,Low
37100,16,0,1,1,18,Low
37200,13,0,1,1,15,Low
37300,8,0,1,3,12,Low
37400,10,0,2,1,13,Low
37500,10,0,1,0,11,Low
37600,15,0,1,0,16,Low
37700,13,0,0,0,13,Low
37800,8,0,0,1,9,Low
37900,9,0,0,0,9,Low
38000,10,0,0,1,11,Low
38100,10,0,0,1,11,Low
38200,7,0,0,0,7,Low
38300,12,0,0,0,12,Low
38400,12,0,0,1,13,Low
38500,8,0,1,1,10,Low
38600,10,0,0,1,11,Low
38700,12,0,0,0,12,Low
38800,9,0,0,0,9,Low
38900,15,0,0,2,17,Low
39000,14,0,1,0,15,Low
39100,15,0,2,1,18,Low
39200,14,0,0,0,14,Low
39300,10,0,0,0,10,Low
39400,13,0,0,0,13,Low
39500,9,0,0,1,10,Low
39600,11,0,0,0,11,Low
39700,6,0,1,1,8,Low
39800,10,0,1,1,12,Low
39900,11,0,1,0,12,Low
40000,8,0,1,0,9,Low
40100,14,0,1,0,15,Low
40200,12,0,0,0,12,Low
40300,14,0,1,1,16,Low
40400,11,0,1,1,13,Low
40500,11,0,2,1,14,Low
40600,12,0,0,1,13,Low
40700,8,0,2,0,10,Low
40800,14,0,0,0,14,Low
40900,13,0,1,3,17,Low
41000,16,0,0,0,16,Low
41100,13,0,0,0,13,Low
41200,14,0,1,0,15,Low
41300,10,0,2,0,12,Low
41400,12,0,1,1,14,Low
41500,14,0,0,1,15,Low
41600,11,0,0,1,12,Low
41700,11,0,1,0,12,Low
41800,13,0,1,1,15,Low
41900,7,0,0,0,7,Low
42000,8,0,0,0,8,Low
42100,10,0,1,1,12,Low
42200,15,0,0,0,15,Low
42300,12,0,1,2,15,Low
42400,12,0,1,0,13,Low
42500,12,0,1,3,16,Low
42600,12,0,1,1,14,Low
42700,13,0,1,0,14,Low
42800,14,0,0,0,14,Low
42900,13,0,0,1,14,Low
43000,13,0,1,1,15,Low
43100,9,0,0,1,10,Low
43200,11,0,0,2,13,Low
43300,12,0,1,1,14,Low
43400,10,0,4,0,14,Low
43500,11,0,2,2,15,Low
43600,16,0,0,1,17,Low
43700,11,0,2,2,15,Low
43800,12,0,3,1,16,Low
43900,9,0,3,1,13,Low
44000,8,0,1,1,10,Low
44100,10,0,1,0,11,Low
44200,10,0,1,2,13,Low
44300,13,0,0,0,13,Low
44400,16,0,0,1,17,Low
44500,16,0,0,1,17,Low
44600,14,0,1,2,17,Low
44700,18,0,1,1,20,Medium
44800,17,0,0,0,17,Low
44900,14,0,0,1,15,Low
45000,11,0,0,1,12,Low
45100,15,0,2,0,17,Low
45200,12,0,0,0,12,Low
45300,13,0,0,0,13,Low
45400,11,0,1,0,12,Low
45500,12,0,1,0,13,Low
45600,10,0,2,0,12,Low
45700,12,0,0,0,12,Low
45800,9,0,1,2,12,Low
45900,12,0,1,0,13,Low
46000,10,0,0,0,10,Low
46100,12,0,2,3,17,Low
46200,7,0,1,0,8,Low
46300,11,0,0,0,11,Low
46400,9,0,0,0,9,Low
46500,13,0,0,1,14,Low
46600,14,0,0,1,15,Low
46700,12,0,0,0,12,Low
46800,14,0,0,0,14,Low
46900,10,0,2,2,14,Low
47000,9,0,3,0,12,Low
47100,11,0,0,1,12,Low
47200,14,0,0,0,14,Low
47300,8,0,1,3,12,Low
47400,12,0,2,1,15,Low
47500,12,0,1,0,13,Low
47600,12,0,0,1,13,Low
47700,9,0,1,1,11,Low
47800,9,0,2,1,12,Low
47900,13,0,1,1,15,Low
48000,11,0,1,1,13,Low
48100,11,0,1,0,12,Low
48200,11,0,1,1,13,Low
48300,11,0,0,0,11,Low
48400,12,0,0,0,12,Low
48500,9,0,0,0,9,Low
48600,12,0,0,0,12,Low
48700,12,0,0,0,12,Low
48800,4,0,2,0,6,Low
48900,7,0,3,0,10,Low
49000,11,0,1,0,12,Low
49100,11,0,0,0,11,Low
49200,15,0,0,0,15,Low
49300,13,0,0,1,14,Low
49400,12,0,0,2,14,Low
49500,15,0,1,0,16,Low
49600,8,0,3,0,11,Low
49700,13,0,2,0,15,Low
49800,11,0,1,1,13,Low
49900,17,0,0,0,17,Low
50000,16,0,0,0,16,Low
50100,17,0,0,0,17,Low
50200,18,0,1,0,19,Low
50300,13,0,0,2,15,Low
50400,17,0,1,1,19,Low
50500,15,0,1,0,16,Low
50600,11,0,3,2,16,Low
50700,13,0,1,2,16,Low
50800,16,0,0,0,16,Low
50900,17,0,1,0,18,Low
51000,16,0,0,0,16,Low
51100,0,0,0,0,0,Low
51200,0,0,0,0,0,Low
